year,streamflow
1941 ,25.317133333333334
1942 ,123.84168333333334
1943 ,163.12329166666663
1944 ,118.12145000000002
1945 ,176.256
1946 ,147.41605833333332
1947 ,154.88951666666665
1948 ,206.99625833333334
1949 ,175.51720833333334
1950 ,330.6865416666667
1951 ,192.84089166666664
1952 ,160.3448083333333
1953 ,111.89445000000002
1954 ,74.35010833333332
1955 ,139.141875
1956 ,145.12084166666668
1957 ,263.7973
1958 ,238.2185416666667
1959 ,194.40485833333332
1960 ,127.70390833333335
1961 ,193.68695000000002
1962 ,130.67709166666666
1963 ,120.11709166666667
1964 ,172.51577499999996
1965 ,125.300975
1966 ,88.46984166666668
1967 ,138.002975
1968 ,180.76185
1969 ,190.15741666666665
1970 ,122.86669166666667
1971 ,148.5839333333333
1972 ,192.02843333333337
1973 ,188.49865833333334
1974 ,210.09118333333336
1975 ,202.07856666666666
1976 ,133.62732499999998
1977 ,120.90669166666667
1978 ,196.22726666666665
1979 ,261.5876416666667
1980 ,172.85079166666665
1981 ,133.88645833333337
1982 ,194.5387916666667
1983 ,130.34046666666669
1984 ,177.91377500000002
1985 ,208.41854999999998
1986 ,213.49279166666668
1987 ,110.30026666666667
1988 ,97.94336666666665
1989 ,231.1479416666666
1990 ,331.5159833333333
1991 ,192.82111666666665
1992 ,193.74009999999998
1993 ,269.35196666666667
1994 ,124.58731666666665
1995 ,109.31127499999998
1996 ,246.34980833333336
1997 ,176.77009166666667
1998 ,216.6541083333333
1999 ,133.8606833333333
2000 ,116.70698333333333
2001 ,227.31574166666667
2002 ,224.74109999999996
2003 ,315.30122500000004
2004 ,221.5215916666667
2005 ,273.95065833333337
2006 ,279.156875
2007 ,288.03446666666673
