year,streamflow
1946 ,9.306633333333332
1947 ,135.118875
1948 ,194.49957499999996
1949 ,136.46008333333336
1950 ,235.53557499999997
1951 ,143.95236666666665
1952 ,120.37376666666667
1953 ,87.734825
1954 ,53.542783333333325
1955 ,130.64533333333333
1956 ,85.865225
1957 ,210.2233166666667
1958 ,196.827675
1959 ,148.24505000000002
1960 ,54.512991666666665
1961 ,144.483475
1962 ,115.63045833333332
1963 ,64.94392500000001
1964 ,110.07403333333333
1965 ,85.81514166666666
1966 ,96.54030833333333
1967 ,117.74273333333333
1968 ,103.84478333333334
1969 ,99.89321666666666
1970 ,78.13534166666668
1971 ,85.17417499999999
1972 ,202.94836666666666
1973 ,141.83492499999997
1974 ,118.32115000000003
1975 ,152.6117833333333
1976 ,83.80614166666666
1977 ,74.7726
1978 ,119.63392500000002
1979 ,247.41619166666666
1980 ,149.24238333333335
1981 ,114.694725
1982 ,171.19029166666667
1983 ,98.22419166666668
1984 ,121.961575
1985 ,144.8259833333333
1986 ,183.08378333333334
1987 ,80.63555
1988 ,52.063549999999985
1989 ,193.43138333333332
1990 ,256.20956666666666
1991 ,89.85412500000001
1992 ,187.22615
1993 ,220.69486666666668
1994 ,72.48740000000002
1995 ,92.13476666666666
1996 ,194.49968333333334
1997 ,125.60896666666666
1998 ,138.91078333333334
1999 ,86.41734999999998
2000 ,86.14359166666667
2001 ,124.86253333333332
2002 ,134.82860000000002
2003 ,221.44250833333334
2004 ,129.74644999999995
2005 ,263.08607500000005
2006 ,199.84880833333332
2007 ,215.5790333333333
