year,streamflow
1948 ,565.6588
1949 ,1067.1733666666667
1950 ,2003.9697916666667
1951 ,1665.5684916666667
1952 ,1376.75125
1953 ,794.7418916666667
1954 ,1466.6661666666669
1955 ,1211.895375
1956 ,962.7499833333331
1957 ,1052.4959
1958 ,1113.5507583333335
1959 ,1488.3686333333335
1960 ,1362.9490833333334
1961 ,1262.6254083333333
1962 ,1084.2790833333336
1963 ,752.2198583333333
1964 ,647.8152833333332
1965 ,1306.8510916666667
1966 ,1387.1900333333333
1967 ,1495.2847666666667
1968 ,1456.4089916666665
1969 ,1408.0197583333336
1970 ,1383.9847166666666
1971 ,912.6874749999998
1972 ,1809.8831916666666
1973 ,1528.9393083333332
1974 ,1391.9695
1975 ,1438.4843750000002
1976 ,1427.7036333333333
1977 ,1253.9434999999999
1978 ,1192.7825916666666
1979 ,1308.1399083333333
1980 ,1279.3675500000002
1981 ,1856.554508333333
1982 ,1831.0796333333335
1983 ,1560.8449999999996
1984 ,1425.9036083333333
1985 ,1770.6234166666663
1986 ,1523.5763916666665
1987 ,1081.8265583333334
1988 ,1202.7327416666667
1989 ,1217.993125
1990 ,2136.8043416666665
1991 ,1847.0560749999997
1992 ,1385.8924416666669
1993 ,2238.1982083333337
1994 ,1455.2364333333335
1995 ,1362.0083333333332
1996 ,1745.2682333333332
1997 ,1763.133333333334
1998 ,1563.8599583333332
1999 ,1164.8797583333335
2000 ,979.1584333333332
2001 ,1432.4946166666668
2002 ,1279.3375749999998
2003 ,988.5440583333333
2004 ,1207.6134666666667
2005 ,1207.8374333333336
2006 ,1206.9976749999998
2007 ,1651.6876666666662
