year,streamflow
1954 ,239.5900142857143
1955 ,700.1259083333333
1956 ,474.14694166666663
1957 ,1264.7894833333332
1958 ,1033.5142916666666
1959 ,917.9929666666666
1960 ,513.0827333333333
1961 ,643.8175
1962 ,746.8305833333335
1963 ,388.94870833333334
1964 ,656.5230416666667
1965 ,617.4692333333334
1966 ,423.75242499999996
1967 ,718.797625
1968 ,632.46205
1969 ,895.9784416666666
1970 ,714.4563250000001
1971 ,635.082875
1972 ,985.4060583333331
1973 ,1068.316975
1974 ,1150.241025
1975 ,823.8553583333334
1976 ,661.6651333333333
1977 ,602.0684416666667
1978 ,825.3077833333333
1979 ,781.1307000000002
1980 ,767.7082833333334
1981 ,719.0131583333335
1982 ,1219.506333333333
1983 ,760.4989583333332
1984 ,728.7581916666667
1985 ,1039.070425
1986 ,619.6671166666666
1987 ,366.7844916666667
1988 ,522.5075416666666
1989 ,885.2576833333336
1990 ,1209.3854250000002
1991 ,690.6708
1992 ,1174.6451166666666
1993 ,1339.751225
1994 ,615.4505250000001
1995 ,463.9557499999999
1996 ,790.6465333333334
1997 ,862.5149416666668
1998 ,1087.5435583333335
1999 ,646.7453833333333
2000 ,290.544625
2001 ,774.2049916666666
2002 ,737.2278333333333
2003 ,1172.73745
2004 ,924.8636416666665
2005 ,837.05275
2006 ,989.8352666666666
2007 ,943.381611111111
