year,streamflow
1943 ,298.5889
1944 ,651.992025
1945 ,854.4334416666666
1946 ,524.9869
1947 ,621.2184250000001
1948 ,698.1946583333333
1949 ,988.5439166666669
1950 ,1540.445866666667
1951 ,984.4673416666665
1952 ,911.6971083333334
1953 ,430.9123333333334
1954 ,506.9932999999999
1955 ,682.7689083333333
1956 ,525.98335
1957 ,762.0597416666666
1958 ,596.3294583333333
1959 ,894.0040249999998
1960 ,605.52855
1961 ,749.1086833333333
1962 ,575.1924
1963 ,318.7918916666666
1964 ,394.8289916666666
1965 ,599.2873916666666
1966 ,576.8953833333334
1967 ,801.5412
1968 ,930.8413416666664
1969 ,888.4151999999999
1970 ,683.1641916666667
1971 ,636.4491083333331
1972 ,888.9494916666666
1973 ,882.8238500000001
1974 ,847.089125
1975 ,925.9546249999999
1976 ,627.4377333333334
1977 ,757.2608583333334
1978 ,708.5915083333333
1979 ,686.0281250000002
1980 ,730.9987249999999
1981 ,827.5700333333333
1982 ,1253.8105583333333
1983 ,719.9874666666666
1984 ,829.307925
1985 ,1060.1444666666666
1986 ,910.8610500000001
1987 ,602.9584833333333
1988 ,598.2580083333335
1989 ,618.2640416666667
1990 ,1347.0531416666665
1991 ,807.6831416666665
1992 ,827.4219083333334
1993 ,1096.0439083333333
1994 ,691.5199250000001
1995 ,563.7538916666666
1996 ,834.9186666666668
1997 ,1119.1948666666665
1998 ,1103.2843083333335
1999 ,770.4370083333334
2000 ,549.1688250000001
2001 ,1051.8310333333334
2002 ,716.0556250000001
2003 ,763.5740583333333
2004 ,898.16435
2005 ,763.9196166666666
2006 ,887.9605083333335
2007 ,925.5437555555555
