year,streamflow
1946 ,95.98759999999999
1947 ,245.02505000000005
1948 ,228.36922499999994
1949 ,245.00812499999998
1950 ,515.48125
1951 ,359.3963416666666
1952 ,280.3626583333333
1953 ,113.21815833333335
1954 ,283.9050333333334
1955 ,201.12572500000002
1956 ,224.047175
1957 ,228.31301666666664
1958 ,168.926675
1959 ,330.55099999999993
1960 ,247.70839166666667
1961 ,180.55715833333332
1962 ,159.35275833333336
1963 ,102.47473333333333
1964 ,85.49838333333334
1965 ,273.78927500000003
1966 ,212.758325
1967 ,230.20563333333337
1968 ,271.0590833333333
1969 ,228.8301416666667
1970 ,189.9825166666667
1971 ,163.03712499999997
1972 ,313.74724166666664
1973 ,282.229125
1974 ,266.1264333333333
1975 ,267.391825
1976 ,202.27052500000002
1977 ,233.70726666666664
1978 ,238.6726833333333
1979 ,183.3285833333333
1980 ,218.91215833333334
1981 ,326.917475
1982 ,435.04812499999997
1983 ,248.60245
1984 ,303.4439
1985 ,401.2674833333333
1986 ,341.9487333333334
1987 ,182.45245
1988 ,231.18773333333334
1989 ,206.87551666666673
1990 ,475.74062499999997
1991 ,283.53585000000004
1992 ,284.4882666666667
1993 ,318.1452083333333
1994 ,243.39373333333336
1995 ,180.45071666666664
1996 ,308.52097499999996
1997 ,334.8861583333333
1998 ,262.79339166666665
1999 ,253.65213333333335
2000 ,195.99731666666665
2001 ,328.1505
2002 ,237.16579166666668
2003 ,309.9420833333333
2004 ,279.697075
2005 ,245.1456333333334
2006 ,317.298025
2007 ,324.25797777777774
