year,streamflow
1943 ,275.96093333333334
1944 ,389.89573333333334
1945 ,385.516225
1946 ,302.1359333333334
1947 ,394.5717
1948 ,346.21682500000003
1949 ,364.23406666666665
1950 ,658.2353333333333
1951 ,537.9045
1952 ,431.40886666666665
1953 ,227.76858333333334
1954 ,517.1634166666666
1955 ,330.3770666666666
1956 ,286.9552833333333
1957 ,289.2866583333333
1958 ,322.9338583333334
1959 ,464.37064166666664
1960 ,408.05645
1961 ,418.4441916666667
1962 ,309.54466666666667
1963 ,196.50484166666664
1964 ,179.89181666666664
1965 ,391.85210833333343
1966 ,401.547025
1967 ,443.09863333333334
1968 ,463.811525
1969 ,379.48374999999993
1970 ,350.1011916666667
1971 ,231.058125
1972 ,593.087125
1973 ,446.6464833333334
1974 ,415.84441666666663
1975 ,458.72602499999994
1976 ,423.9668500000001
1977 ,390.5626833333333
1978 ,364.44432499999994
1979 ,380.6442583333334
1980 ,364.8560499999999
1981 ,560.5149416666667
1982 ,579.8716166666668
1983 ,418.62669166666666
1984 ,410.48265
1985 ,563.8909666666667
1986 ,518.4388666666667
1987 ,297.755425
1988 ,336.1800416666667
1989 ,308.0807333333334
1990 ,614.8363916666666
1991 ,534.2233583333333
1992 ,413.99284166666666
1993 ,673.4234083333334
1994 ,402.78720833333335
1995 ,392.53792500000003
1996 ,524.8261583333334
1997 ,572.1226333333333
1998 ,485.24791666666664
1999 ,372.0630916666667
2000 ,250.9478333333334
2001 ,475.679975
2002 ,413.6021666666666
2003 ,310.36633333333333
2004 ,423.06604999999996
2005 ,378.04275833333327
2006 ,360.32947500000006
2007 ,479.55018888888895
