year,streamflow
1928 ,186.62546666666665
1929 ,795.3591499999998
1930 ,486.7634
1931 ,236.42953333333332
1932 ,534.1106666666666
1933 ,747.9692666666668
1934 ,140.87363333333334
1935 ,242.8083916666667
1936 ,552.7703083333334
1937 ,879.7311249999998
1938 ,753.4767500000002
1939 ,519.110075
1940 ,317.77045833333324
1941 ,156.24908333333335
1942 ,452.9337666666667
1943 ,495.85994166666666
1944 ,400.45975833333335
1945 ,629.2512666666667
1946 ,433.9998666666667
1947 ,663.825425
1948 ,687.1051916666667
1949 ,759.7887750000001
1950 ,1175.5743499999996
1951 ,801.9967583333333
1952 ,593.3868833333335
1953 ,348.4996083333333
1954 ,193.10512500000002
1955 ,473.99333333333334
1956 ,433.27691666666664
1957 ,597.9993583333334
1958 ,800.1187083333334
1959 ,646.0229333333333
1960 ,294.19705
1961 ,707.9279499999999
1962 ,485.73907499999996
1963 ,407.63505833333335
1964 ,444.3998666666667
1965 ,418.7050666666667
1966 ,394.3655666666668
1967 ,633.8323833333333
1968 ,675.3830416666667
1969 ,715.5450999999999
1970 ,482.1697666666666
1971 ,421.96385000000004
1972 ,621.8777833333332
1973 ,672.002875
1974 ,623.635575
1975 ,711.4191083333334
1976 ,364.86935833333337
1977 ,388.221
1978 ,659.5865666666667
1979 ,1121.6981166666667
1980 ,639.6100916666666
1981 ,419.6383333333333
1982 ,762.65175
1983 ,452.02285
1984 ,611.7441583333332
1985 ,757.7330583333334
1986 ,687.5051666666667
1987 ,361.446825
1988 ,278.0995916666667
1989 ,717.1194833333334
1990 ,961.0240916666667
1991 ,584.7404333333333
1992 ,478.1201166666667
1993 ,929.5616583333334
1994 ,519.8581583333333
1995 ,484.0946250000001
1996 ,1140.7456916666667
1997 ,678.3231333333334
1998 ,692.0032166666666
1999 ,418.28105
2000 ,403.7151083333333
2001 ,740.2761833333333
2002 ,805.4953750000001
2003 ,864.6359499999999
2004 ,653.1508
2005 ,787.6459416666668
2006 ,862.2588166666668
2007 ,797.9988444444446
