year,streamflow
1927 ,3957.0064666666663
1928 ,2140.2001750000004
1929 ,3748.953766666667
1930 ,2359.2625833333327
1931 ,1013.9202583333334
1932 ,2640.2446916666663
1933 ,3436.0391333333337
1934 ,671.4081166666666
1935 ,1412.930608333333
1936 ,1998.6485333333337
1937 ,3857.206416666666
1938 ,3017.4416749999996
1939 ,2621.6478500000003
1940 ,1319.5946583333332
1941 ,425.718225
1942 ,2240.0138083333336
1943 ,2297.438241666667
1944 ,1674.778775
1945 ,3053.2904
1946 ,1885.4099999999999
1947 ,2946.017708333333
1948 ,2399.8870416666664
1949 ,3346.6244083333336
1950 ,5207.1363
1951 ,3367.214
1952 ,2658.890191666667
1953 ,1528.2561750000002
1954 ,657.338925
1955 ,2199.24655
1956 ,2384.7021833333333
1957 ,3203.581083333333
1958 ,3105.295733333333
1959 ,2444.72375
1960 ,1745.0365916666667
1961 ,2740.098275
1962 ,1978.5389666666667
1963 ,1672.840316666667
1964 ,1988.4497916666667
1965 ,1896.5112
1966 ,1926.5445916666667
1967 ,2293.36745
1968 ,3086.234008333333
1969 ,2933.0705250000005
1970 ,1901.07745
1971 ,1841.2771416666662
1972 ,2625.0363999999995
1973 ,3232.879891666667
1974 ,3283.479641666667
1975 ,3073.0090916666663
1976 ,1611.000616666667
1977 ,1931.756758333333
1978 ,3020.9442916666667
1979 ,4808.4559
1980 ,2488.137175
1981 ,2079.3243749999997
1982 ,3044.1102000000005
1983 ,2328.0883833333332
1984 ,2780.517533333333
1985 ,3960.582216666666
1986 ,2579.5065583333335
1987 ,1283.9148416666667
1988 ,1727.177175
1989 ,3632.6132416666665
1990 ,3773.953016666667
1991 ,2751.5369166666665
1992 ,1908.9210750000002
1993 ,4079.655666666666
1994 ,2276.9788083333333
1995 ,2362.1931916666667
1996 ,4795.725725
1997 ,3045.482483333333
1998 ,3530.8882166666663
1999 ,1925.9659
2000 ,2390.947
2001 ,3008.5200333333337
2002 ,3611.8947583333334
2003 ,3431.4737416666667
2004 ,2680.031133333334
2005 ,3775.506275
2006 ,4561.451775
2007 ,3803.406344444445
