year,streamflow
1931 ,503.61179999999996
1932 ,413.22970000000004
1933 ,506.5809166666667
1934 ,310.076175
1935 ,461.4034000000001
1936 ,348.6818416666667
1937 ,392.45440833333333
1938 ,494.10801666666663
1939 ,443.9422
1940 ,345.54842499999995
1941 ,364.1428666666666
1942 ,513.1714333333333
1943 ,600.4506833333334
1944 ,487.33984166666664
1945 ,452.481
1946 ,429.24587500000007
1947 ,566.1581333333335
1948 ,499.2962250000001
1949 ,438.07357499999995
1950 ,750.80155
1951 ,641.6840083333333
1952 ,587.5841416666667
1953 ,352.236375
1954 ,598.2785166666666
1955 ,548.751225
1956 ,418.1013666666666
1957 ,447.7482416666667
1958 ,427.425225
1959 ,562.3301333333334
1960 ,555.448525
1961 ,462.11727500000006
1962 ,440.4184499999999
1963 ,361.98205833333327
1964 ,309.2690416666667
1965 ,562.3952916666667
1966 ,576.9783166666666
1967 ,574.8880666666668
1968 ,551.7931
1969 ,546.8056333333334
1970 ,540.2251500000001
1971 ,398.43355
1972 ,663.4640666666668
1973 ,630.395125
1974 ,540.5652416666667
1975 ,557.4039583333334
1976 ,573.382175
1977 ,507.8264333333332
1978 ,513.8271000000001
1979 ,543.350375
1980 ,507.02113333333335
1981 ,675.8392083333332
1982 ,730.0790833333334
1983 ,593.5589583333334
1984 ,555.169
1985 ,666.2509249999999
1986 ,566.8778916666666
1987 ,433.5280666666667
1988 ,506.065175
1989 ,472.25055000000003
1990 ,799.8974916666666
1991 ,706.9373083333334
1992 ,537.5510416666666
1993 ,825.5274
1994 ,579.2454
1995 ,551.5727416666666
1996 ,649.6021166666667
1997 ,604.713175
1998 ,557.2133666666666
1999 ,438.34258333333327
2000 ,434.0364416666667
2001 ,557.7275
2002 ,502.2474166666666
2003 ,383.12572499999993
2004 ,439.56303333333335
2005 ,471.6031083333334
2006 ,466.1760916666667
2007 ,629.8134222222221
