year,streamflow
1938 ,66.42796666666666
1939 ,511.0278916666667
1940 ,150.2554833333333
1941 ,70.30453333333334
1942 ,339.7121583333333
1943 ,472.97353333333336
1944 ,331.52708333333334
1945 ,485.27640833333334
1946 ,484.64109166666657
1947 ,417.8910833333334
1948 ,635.3791583333333
1949 ,576.3500916666667
1950 ,1140.3419333333331
1951 ,486.25855
1952 ,643.0181166666666
1953 ,368.22784166666673
1954 ,161.56015833333333
1955 ,421.2133416666666
1956 ,462.4633166666667
1957 ,971.5667083333332
1958 ,669.2273666666666
1959 ,474.94877500000007
1960 ,300.9422416666667
1961 ,505.0470666666666
1962 ,472.1739583333335
1963 ,305.10814166666665
1964 ,422.1944249999999
1965 ,391.9826666666667
1966 ,279.08855833333337
1967 ,440.8669916666666
1968 ,484.19292500000006
1969 ,642.283225
1970 ,422.61626666666666
1971 ,405.71246666666667
1972 ,695.9742666666667
1973 ,634.3958250000002
1974 ,846.42
1975 ,577.9870666666667
1976 ,359.733
1977 ,373.04
1978 ,588.1584750000001
1979 ,653.2665000000001
1980 ,421.21344166666677
1981 ,465.6562833333333
1982 ,730.6037500000001
1983 ,417.204925
1984 ,504.78248333333335
1985 ,736.542375
1986 ,396.18150833333334
1987 ,180.75106666666667
1988 ,256.0743833333333
1989 ,651.8067166666667
1990 ,845.6624916666666
1991 ,482.7813750000001
1992 ,749.9496250000001
1993 ,898.9805416666667
1994 ,353.99622500000004
1995 ,261.0821
1996 ,604.8402416666667
1997 ,422.7389416666667
1998 ,590.2747
1999 ,397.8557
2000 ,177.88249166666665
2001 ,452.2696666666666
2002 ,646.2152416666668
2003 ,750.3824166666667
2004 ,425.9553416666666
2005 ,522.9266416666667
2006 ,765.1956583333334
2007 ,570.7875222222223
