year,streamflow
1948 ,1357.3469444444445
1949 ,2464.150016666667
1950 ,3738.6736416666668
1951 ,2418.4655666666663
1952 ,1947.3792083333335
1953 ,1064.5576666666668
1954 ,546.2389166666666
1955 ,1759.8534166666668
1956 ,1696.1048250000001
1957 ,2247.1353333333336
1958 ,2416.5049416666666
1959 ,1847.4701750000002
1960 ,1315.1190583333334
1961 ,2159.416233333333
1962 ,1434.8667083333332
1963 ,1257.1339999999998
1964 ,1457.9842250000002
1965 ,1408.35185
1966 ,1410.1521416666667
1967 ,1635.1847750000004
1968 ,2182.8923916666668
1969 ,2139.519691666667
1970 ,1271.6309583333334
1971 ,1410.4137166666667
1972 ,1934.092633333333
1973 ,2270.3673583333334
1974 ,2258.229483333333
1975 ,2258.582308333333
1976 ,1231.206675
1977 ,1354.1076416666667
1978 ,2173.907041666667
1979 ,3281.4598416666668
1980 ,1813.5382249999996
1981 ,1456.010875
1982 ,2017.9864083333332
1983 ,1500.8323833333336
1984 ,1912.2088666666668
1985 ,2577.4420333333333
1986 ,1782.8661083333336
1987 ,1009.7842916666668
1988 ,1131.3844000000001
1989 ,2489.638233333333
1990 ,2771.489341666667
1991 ,1978.3854583333334
1992 ,1550.2940416666668
1993 ,2855.796141666667
1994 ,1465.7046749999997
1995 ,1410.247375
1996 ,3117.0070083333335
1997 ,2120.0490916666663
1998 ,2343.7868583333334
1999 ,1302.0597333333333
2000 ,1487.8552833333333
2001 ,2094.311325
2002 ,2299.6832666666664
2003 ,2428.9803666666667
2004 ,1884.6304333333335
2005 ,2640.1961
2006 ,3113.3454749999996
2007 ,2528.4725888888884
