year,streamflow
1948 ,245.98845555555556
1949 ,514.3596666666666
1950 ,745.8896583333332
1951 ,447.66509999999994
1952 ,264.13865833333335
1953 ,148.8583166666667
1954 ,33.907774999999994
1955 ,406.2302583333333
1956 ,330.59419999999994
1957 ,490.64835
1958 ,292.46303333333327
1959 ,348.9324583333334
1960 ,273.36195833333335
1961 ,428.0515166666667
1962 ,391.39663333333334
1963 ,213.9407666666667
1964 ,273.82855833333326
1965 ,234.93665
1966 ,304.7265916666667
1967 ,246.18960833333335
1968 ,389.34584166666656
1969 ,260.929025
1970 ,232.25796666666668
1971 ,265.23463333333336
1972 ,430.0619583333333
1973 ,403.60660000000007
1974 ,438.59004166666665
1975 ,415.7380083333333
1976 ,194.2370583333333
1977 ,391.40708333333333
1978 ,413.37240833333334
1979 ,596.3218249999999
1980 ,283.083525
1981 ,232.6395
1982 ,490.93491666666677
1983 ,473.59552499999995
1984 ,414.71885833333334
1985 ,433.9710416666666
1986 ,198.09264999999996
1987 ,132.51306666666667
1988 ,241.61435833333337
1989 ,460.2597333333334
1990 ,639.0791416666666
1991 ,312.377675
1992 ,246.69415833333332
1993 ,452.53978333333333
1994 ,303.30973333333327
1995 ,366.74606666666665
1996 ,663.226225
1997 ,443.992225
1998 ,360.70689999999996
1999 ,243.1784333333333
2000 ,397.021825
2001 ,422.0757833333333
2002 ,522.36555
2003 ,491.68005833333336
2004 ,465.6673916666667
2005 ,347.8830833333332
2006 ,505.1432
2007 ,345.01963333333333
