year,streamflow
1930 ,129.13562222222222
1931 ,127.38744166666665
1932 ,338.4354416666667
1933 ,399.6392000000001
1934 ,152.80649166666666
1935 ,293.2892416666666
1936 ,351.9948416666667
1937 ,411.7549166666666
1938 ,447.86044166666653
1939 ,353.1297083333333
1940 ,197.613525
1941 ,129.34384999999997
1942 ,396.7166583333333
1943 ,497.2767916666666
1944 ,331.793675
1945 ,378.1419666666666
1946 ,231.03949166666666
1947 ,324.8475416666667
1948 ,356.11947499999997
1949 ,430.6339166666667
1950 ,779.0552666666666
1951 ,530.1264499999999
1952 ,457.6456583333334
1953 ,210.92414999999997
1954 ,314.5457
1955 ,362.9605666666667
1956 ,292.41023333333334
1957 ,435.0972166666666
1958 ,303.14281666666665
1959 ,515.73385
1960 ,329.49585
1961 ,354.88885
1962 ,284.5721916666667
1963 ,152.3982
1964 ,211.91030000000003
1965 ,329.0941166666666
1966 ,349.960125
1967 ,426.08499166666667
1968 ,435.7708333333332
1969 ,390.1727416666667
1970 ,319.95667499999996
1971 ,265.950575
1972 ,443.66374166666657
1973 ,437.3264166666666
1974 ,402.7319583333333
1975 ,438.99924166666665
1976 ,299.77309999999994
1977 ,368.79765
1978 ,364.2198916666666
1979 ,347.13120000000004
1980 ,377.3897083333333
1981 ,498.61851666666666
1982 ,636.9408833333333
1983 ,364.3426
1984 ,435.46919166666663
1985 ,531.597675
1986 ,479.83285
1987 ,317.55854999999997
1988 ,355.6669416666666
1989 ,340.8500833333333
1990 ,763.6414500000001
1991 ,443.32480833333335
1992 ,434.24060833333334
1993 ,538.2796166666666
1994 ,350.23489166666667
1995 ,292.47915
1996 ,460.45273333333336
1997 ,601.7814583333334
1998 ,490.2453416666667
1999 ,403.3746583333334
2000 ,310.01741666666663
2001 ,529.5193916666667
2002 ,370.2947666666668
2003 ,440.21313333333336
2004 ,481.8120916666667
2005 ,406.33273333333324
2006 ,486.70497500000005
2007 ,493.80034444444453
