year,streamflow
1944 ,159.7143444444444
1945 ,246.60835
1946 ,172.31400833333336
1947 ,193.82448333333332
1948 ,240.79250833333336
1949 ,335.78799166666676
1950 ,497.5578749999999
1951 ,216.33259166666667
1952 ,333.91243333333335
1953 ,166.4731
1954 ,74.27285833333333
1955 ,240.70555833333336
1956 ,153.57288333333335
1957 ,316.83512500000006
1958 ,333.97666666666663
1959 ,320.174125
1960 ,216.64000000000001
1961 ,248.24807500000006
1962 ,247.82343333333327
1963 ,128.64265833333334
1964 ,132.81865000000002
1965 ,165.8258083333333
1966 ,104.99390833333332
1967 ,256.89779166666665
1968 ,268.58802499999996
1969 ,345.282625
1970 ,218.04690833333333
1971 ,186.6667666666667
1972 ,306.32148333333333
1973 ,352.54485
1974 ,327.2439083333333
1975 ,269.41265833333335
1976 ,205.96274999999994
1977 ,167.438625
1978 ,233.88014999999996
1979 ,235.00094166666665
1980 ,270.6749833333333
1981 ,214.46479166666666
1982 ,397.23654166666665
1983 ,223.3353083333333
1984 ,243.6797583333334
1985 ,305.16519999999997
1986 ,224.4821416666667
1987 ,153.6467083333333
1988 ,158.4472083333333
1989 ,268.5732666666666
1990 ,437.22622499999994
1991 ,217.686425
1992 ,334.84596666666664
1993 ,448.24274166666663
1994 ,214.23738333333336
1995 ,168.80310000000003
1996 ,217.8016
1997 ,305.4106583333334
1998 ,356.26612500000005
1999 ,207.26947499999997
2000 ,95.92483333333332
2001 ,265.0723166666666
2002 ,241.80708333333337
2003 ,376.5785583333333
2004 ,316.6377416666666
2005 ,279.9721333333333
2006 ,266.00280000000004
2007 ,279.7189333333333
