year,streamflow
1942 ,102.6774
1943 ,104.74636666666667
1944 ,78.953975
1945 ,132.4820666666667
1946 ,84.6842
1947 ,114.98309166666665
1948 ,101.24279166666663
1949 ,122.88465000000002
1950 ,189.25699166666672
1951 ,159.05095833333334
1952 ,130.78880833333332
1953 ,63.59605833333334
1954 ,21.92476666666667
1955 ,97.563875
1956 ,99.76293333333332
1957 ,183.66525833333333
1958 ,131.80096666666665
1959 ,111.67710833333332
1960 ,74.48129166666666
1961 ,119.13614166666672
1962 ,94.37374166666666
1963 ,68.39781666666667
1964 ,87.30607500000002
1965 ,86.93848333333331
1966 ,104.54615000000001
1967 ,89.71653333333332
1968 ,134.06875000000002
1969 ,129.85476666666665
1970 ,64.38918333333334
1971 ,70.007825
1972 ,97.88669166666666
1973 ,138.99965
1974 ,120.46065833333336
1975 ,139.88343333333336
1976 ,62.87449166666668
1977 ,75.07348333333334
1978 ,116.84049166666665
1979 ,197.00675833333335
1980 ,78.25998333333334
1981 ,92.85795833333334
1982 ,121.37839166666667
1983 ,89.20314166666667
1984 ,106.32785000000001
1985 ,160.60138333333333
1986 ,93.68050833333332
1987 ,55.627916666666664
1988 ,71.18464999999999
1989 ,142.72991666666667
1990 ,164.52217499999998
1991 ,93.94035000000002
1992 ,99.99315
1993 ,193.19746666666666
1994 ,87.51946666666667
1995 ,99.88683333333334
1996 ,193.34063333333336
1997 ,110.05951666666665
1998 ,125.36585000000001
1999 ,96.3247583333333
2000 ,119.89314166666666
2001 ,139.64950833333333
2002 ,159.7826916666667
2003 ,144.53560833333333
2004 ,123.63657499999998
2005 ,166.711675
2006 ,214.27552500000002
2007 ,141.7082777777778
