year,streamflow
1949 ,98.9674
1950 ,512.77635
1951 ,312.68153333333333
1952 ,309.0939583333334
1953 ,169.80463333333333
1954 ,38.50700833333333
1955 ,230.57919166666667
1956 ,212.18859166666664
1957 ,458.17040833333334
1958 ,215.1849
1959 ,275.10084166666667
1960 ,211.74794166666666
1961 ,281.98005
1962 ,293.99747499999995
1963 ,168.10870000000003
1964 ,176.96745833333338
1965 ,146.3882416666667
1966 ,149.27666666666667
1967 ,193.34256666666667
1968 ,316.758125
1969 ,294.91792499999997
1970 ,191.0090583333334
1971 ,205.9350333333333
1972 ,279.302575
1973 ,389.7119166666667
1974 ,352.867325
1975 ,279.98077500000005
1976 ,142.759525
1977 ,229.55016666666668
1978 ,300.22310833333336
1979 ,560.1276666666666
1980 ,214.50588333333334
1981 ,281.47487500000005
1982 ,383.9650333333334
1983 ,182.9868416666667
1984 ,243.59958333333336
1985 ,432.0605166666667
1986 ,245.37026666666668
1987 ,191.22915833333332
1988 ,170.27141666666665
1989 ,292.4557499999999
1990 ,390.96971666666667
1991 ,200.33354166666663
1992 ,275.0459833333333
1993 ,544.7661416666666
1994 ,183.78674166666667
1995 ,133.101675
1996 ,421.78739166666674
1997 ,272.06900833333333
1998 ,275.55699999999996
1999 ,255.8034333333334
2000 ,237.01410833333333
2001 ,292.7052416666667
2002 ,324.43572499999993
2003 ,403.69619166666666
2004 ,270.3695333333333
2005 ,363.72389999999996
2006 ,438.0662916666666
2007 ,304.8082777777778
