year,streamflow
1944 ,172.88805555555552
1945 ,220.24796666666666
1946 ,176.86786666666663
1947 ,192.41432500000005
1948 ,284.29454999999996
1949 ,274.24667500000004
1950 ,475.9531666666667
1951 ,225.243475
1952 ,329.96161666666666
1953 ,217.47603333333333
1954 ,93.575225
1955 ,213.43926666666664
1956 ,130.19121666666666
1957 ,408.7399916666666
1958 ,338.62565
1959 ,264.79917500000005
1960 ,153.21444166666666
1961 ,208.29093333333333
1962 ,212.81580833333336
1963 ,128.49810833333336
1964 ,207.37717499999997
1965 ,189.41034999999997
1966 ,139.44969166666667
1967 ,221.23630000000003
1968 ,214.70539999999997
1969 ,300.233175
1970 ,250.18439166666667
1971 ,214.84499166666671
1972 ,319.83965
1973 ,318.743625
1974 ,392.6342083333332
1975 ,268.11748333333327
1976 ,185.42834166666668
1977 ,172.4523833333333
1978 ,270.94171666666665
1979 ,237.78261666666666
1980 ,235.45151666666663
1981 ,219.61209166666666
1982 ,351.94455
1983 ,230.13425833333335
1984 ,236.0050416666667
1985 ,327.5047
1986 ,182.33145000000002
1987 ,114.86384166666666
1988 ,142.38174166666667
1989 ,292.40820833333333
1990 ,403.29664999999994
1991 ,233.07390833333332
1992 ,367.601175
1993 ,415.6732416666666
1994 ,192.830925
1995 ,128.53918333333334
1996 ,200.03936666666667
1997 ,242.32101666666668
1998 ,323.794075
1999 ,189.3045583333333
2000 ,94.64394166666666
2001 ,223.26911666666663
2002 ,242.87322500000005
2003 ,344.8308083333333
2004 ,270.8244916666667
2005 ,255.61597500000008
2006 ,268.63567500000005
2007 ,268.2215555555556
