year,streamflow
1942 ,74.03656666666667
1943 ,97.29755833333331
1944 ,58.339766666666655
1945 ,51.1052
1946 ,44.92532500000001
1947 ,75.70742500000001
1948 ,50.89824166666667
1949 ,46.459450000000004
1950 ,83.118825
1951 ,70.75138333333334
1952 ,48.39262499999999
1953 ,33.94926666666667
1954 ,65.56536666666668
1955 ,37.61015833333334
1956 ,40.467974999999996
1957 ,52.127533333333325
1958 ,35.71801666666667
1959 ,89.27422500000002
1960 ,56.40384999999998
1961 ,55.752133333333326
1962 ,41.497233333333334
1963 ,21.364808333333333
1964 ,19.367566666666665
1965 ,90.31740833333335
1966 ,61.91261666666667
1967 ,74.76805
1968 ,56.83269166666667
1969 ,62.213166666666666
1970 ,68.97076666666665
1971 ,35.72805
1972 ,81.34828333333333
1973 ,73.51895
1974 ,79.71809999999999
1975 ,79.32920000000001
1976 ,62.20748333333333
1977 ,41.29120833333333
1978 ,57.50393333333334
1979 ,80.23137500000001
1980 ,62.368125
1981 ,93.30568333333333
1982 ,91.49436666666666
1983 ,78.38231666666665
1984 ,85.24050000000001
1985 ,95.45993333333335
1986 ,55.42854166666667
1987 ,66.53845
1988 ,56.21528333333333
1989 ,69.594375
1990 ,131.343625
1991 ,116.418975
1992 ,54.14349999999999
1993 ,176.70725833333336
1994 ,65.24976666666667
1995 ,77.80173333333333
1996 ,119.96733333333334
1997 ,115.15508333333337
1998 ,132.21934166666665
1999 ,102.68238333333335
2000 ,57.373349999999995
2001 ,78.56348333333334
2002 ,81.09368333333333
2003 ,92.53830833333335
2004 ,100.19212499999999
2005 ,105.74874166666667
2006 ,103.7733777777778
