year,streamflow
1949 ,181.65065555555555
1950 ,608.6535416666667
1951 ,465.6485666666667
1952 ,332.37540000000007
1953 ,228.23684999999992
1954 ,162.50771666666668
1955 ,289.91609166666666
1956 ,212.86810000000006
1957 ,459.91764166666667
1958 ,395.0755000000001
1959 ,428.8015249999999
1960 ,346.24326666666667
1961 ,346.77685
1962 ,368.376575
1963 ,147.75610833333332
1964 ,78.88268333333332
1965 ,368.42105833333335
1966 ,318.6555416666667
1967 ,457.3615583333332
1968 ,451.47342499999996
1969 ,410.27739999999994
1970 ,412.31265833333333
1971 ,284.455475
1972 ,564.737325
1973 ,511.32468333333344
1974 ,517.2553750000001
1975 ,455.33707499999997
1976 ,378.5105333333333
1977 ,342.1345416666666
1978 ,348.3642916666667
1979 ,436.2708333333333
1980 ,395.487425
1981 ,490.07845833333334
1982 ,628.0574999999999
1983 ,419.26602499999996
1984 ,422.270275
1985 ,494.14921666666675
1986 ,449.1574833333334
1987 ,336.04765000000003
1988 ,251.7586166666667
1989 ,385.32779999999997
1990 ,683.5607916666667
1991 ,518.5010333333333
1992 ,390.5547666666667
1993 ,1022.4844000000002
1994 ,415.13476666666656
1995 ,383.189875
1996 ,337.88275
1997 ,500.12039999999996
1998 ,559.1707
1999 ,308.3280916666667
2000 ,178.74754166666665
2001 ,458.3761666666667
2002 ,440.169875
2003 ,509.0206916666666
2004 ,478.1252083333333
2005 ,377.6268666666667
2006 ,543.1775583333333
2007 ,572.9124666666668
