Time,Precipitation
1948.497267759563,0.0
1948.508196721311,0.07000000000000001
1948.527322404371,0.09
1948.530054644809,0.34
1948.535519125683,0.4
1948.53825136612,0.13
1948.540983606557,0.6
1948.549180327869,0.15
1948.551912568306,1.42
1948.554644808743,1.55
1948.562841530055,0.08
1948.568306010929,0.41
1948.57650273224,0.04
1948.581967213115,0.0
1948.590163934426,0.24
1948.609289617486,0.77
1948.612021857924,0.2
1948.614754098361,2.6
1948.625683060109,0.6
1948.666666666667,0.0
1948.672131147541,0.11
1948.677595628415,0.8
1948.680327868852,0.59
1948.685792349727,0.0
1948.688524590164,0.0
1948.718579234973,0.13
1948.72131147541,0.02
1948.74043715847,0.53
1948.745901639344,0.05
1948.748633879781,0.0
1948.765027322404,0.15
1948.773224043716,0.04
1948.775956284153,0.35
1948.789617486339,2.35
1948.792349726776,0.37
1948.803278688525,0.1
1948.827868852459,0.23
1948.830601092896,0.29
1948.833333333333,0.0
1948.83606557377,0.46
1948.838797814208,0.23
1948.844262295082,1.93
1948.85519125683,0.61
1948.857923497268,0.08
1948.863387978142,0.1
1948.866120218579,0.04
1948.874316939891,0.5
1948.879781420765,0.45
1948.882513661202,0.22
1948.901639344262,0.5
1948.907103825137,0.0
1948.909836065574,0.25
1948.915300546448,0.0
1948.926229508197,0.32
1948.945355191257,0.04
1948.950819672131,1.22
1948.953551912568,0.46
1948.956284153006,0.06
1948.96174863388,0.23
1948.964480874317,0.05
1948.978142076503,0.0
1948.989071038251,1.12
1948.991803278689,0.33
1949.0,0.0
1949.005479452055,0.0
1949.01095890411,3.8
1949.024657534247,0.35
1949.027397260274,0.12
1949.038356164383,0.13
1949.041095890411,0.68
1949.046575342466,1.76
1949.054794520548,0.05
1949.060273972603,0.93
1949.06301369863,0.75
1949.065753424657,0.14
1949.068493150685,0.47
1949.071232876712,1.3
1949.082191780822,0.11
1949.084931506849,0.0
1949.090410958904,0.07000000000000001
1949.093150684932,0.01
1949.098630136986,0.06
1949.117808219178,0.2
1949.120547945206,1.98
1949.123287671233,0.64
1949.142465753425,0.25
1949.147945205479,0.2
1949.156164383562,0.07000000000000001
1949.161643835616,0.0
1949.172602739726,0.25
1949.180821917808,0.0
1949.183561643836,0.55
