Time,Precipitation
1948.497267759563,0.0
1948.521857923497,1.02
1948.527322404371,0.05
1948.535519125683,0.36
1948.53825136612,0.44
1948.540983606557,0.46
1948.543715846994,0.04
1948.549180327869,0.13
1948.551912568306,0.97
1948.554644808743,0.33
1948.562841530055,0.25
1948.565573770492,0.03
1948.568306010929,0.22
1948.581967213115,0.0
1948.590163934426,0.17
1948.609289617486,1.04
1948.625683060109,0.5600000000000001
1948.661202185792,0.03
1948.666666666667,0.0
1948.677595628415,0.25
1948.680327868852,0.1
1948.685792349727,0.32
1948.715846994535,0.47
1948.718579234973,0.79
1948.72131147541,0.27
1948.724043715847,0.23
1948.74043715847,0.12
1948.743169398907,0.24
1948.748633879781,0.0
1948.765027322404,0.28
1948.767759562842,0.15
1948.770491803279,0.02
1948.773224043716,0.77
1948.775956284153,0.5700000000000001
1948.789617486339,1.19
1948.803278688525,0.07000000000000001
1948.827868852459,0.16
1948.830601092896,0.26
1948.833333333333,0.0
1948.83606557377,0.32
1948.838797814208,0.44
1948.844262295082,1.9
1948.846994535519,0.03
1948.85519125683,0.47
1948.857923497268,0.1
1948.863387978142,0.13
1948.866120218579,0.05
1948.874316939891,0.33
1948.879781420765,0.12
1948.882513661202,0.21
1948.901639344262,0.24
1948.907103825137,0.12
1948.915300546448,0.0
1948.926229508197,0.19
1948.937158469945,0.02
1948.94262295082,0.02
1948.945355191257,0.17
1948.950819672131,0.5700000000000001
1948.953551912568,1.49
1948.96174863388,0.36
1948.964480874317,0.05
1948.967213114754,0.02
1948.989071038251,1.07
1948.991803278689,0.3
1949.0,0.0
1949.005479452055,0.02
1949.008219178082,1.4
1949.01095890411,0.54
1949.021917808219,0.05
1949.024657534247,0.5600000000000001
1949.027397260274,0.41
1949.038356164383,0.12
1949.041095890411,0.29
1949.046575342466,2.84
1949.060273972603,0.37
1949.065753424657,0.12
1949.068493150685,0.3
1949.071232876712,1.01
1949.082191780822,0.08
1949.084931506849,0.0
1949.090410958904,0.07000000000000001
1949.098630136986,0.17
1949.117808219178,0.03
1949.120547945206,1.44
1949.123287671233,0.3
1949.139726027397,0.09
1949.142465753425,0.12
1949.147945205479,0.23
1949.156164383562,0.09
1949.161643835616,0.0
1949.180821917808,0.03
1949.183561643836,0.18
1949.186301369863,0.25
1949.197260273973,0.02
1949.2,0.03
1949.205479452055,0.04
1949.216438356164,0.01
1949.219178082192,0.35
1949.227397260274,0.02
1949.230136986301,1.04
1949.241095890411,0.32
1949.243835616438,0.04
1949.246575342466,0.02
1949.271232876712,0.07000000000000001
1949.282191780822,0.22
1949.284931506849,0.38
1949.290410958904,0.27
1949.293150684932,0.03
1949.301369863014,0.01
1949.304109589041,0.27
1949.306849315069,0.15
1949.315068493151,0.93
1949.317808219178,0.08
1949.32602739726,0.02
1949.328767123288,0.11
1949.364383561644,0.24
1949.378082191781,0.63
1949.383561643836,0.12
1949.386301369863,0.6
1949.38904109589,0.34
1949.394520547945,0.21
1949.413698630137,0.0
1949.419178082192,0.13
1949.427397260274,0.06
1949.438356164384,0.26
1949.441095890411,0.11
1949.443835616438,0.0
1949.449315068493,0.0
1949.452054794521,0.98
1949.454794520548,0.63
1949.457534246575,0.02
1949.468493150685,0.23
1949.476712328767,0.02
1949.482191780822,0.37
1949.484931506849,0.05
1949.487671232877,0.37
1949.490410958904,0.06
1949.495890410959,0.0
1949.509589041096,0.73
1949.512328767123,0.08
1949.517808219178,0.55
1949.556164383562,0.07000000000000001
1949.564383561644,0.07000000000000001
1949.575342465753,0.2
1949.580821917808,0.0
1949.583561643836,0.05
1949.608219178082,0.23
1949.61095890411,0.07000000000000001
1949.619178082192,0.2
1949.624657534247,0.18
1949.652054794521,0.2
1949.654794520548,0.35
1949.660273972603,0.02
1949.66301369863,0.01
1949.665753424658,0.0
1949.67397260274,0.18
1949.676712328767,0.01
1949.695890410959,0.0
1949.704109589041,0.0
1949.709589041096,0.21
1949.712328767123,0.23
1949.720547945205,0.02
1949.747945205479,0.0
1949.753424657534,1.41
1949.756164383562,0.04
1949.758904109589,0.49
1949.761643835616,0.87
1949.775342465754,2.62
1949.778082191781,0.14
1949.791780821918,0.16
1949.8,0.04
1949.802739726027,0.45
1949.805479452055,0.15
1949.832876712329,0.0
1949.86301369863,0.33
1949.865753424657,0.5
1949.868493150685,0.03
1949.876712328767,0.09
1949.895890410959,0.11
1949.898630136986,0.05
1949.915068493151,0.0
1949.920547945205,0.03
1949.923287671233,0.03
1949.928767123288,0.07000000000000001
1949.93698630137,0.05
1949.939726027397,0.12
1949.942465753425,0.36
1949.958904109589,0.15
1949.961643835617,0.22
1949.967123287671,0.03
1949.969863013699,1.05
1949.972602739726,0.38
1949.983561643836,0.77
1949.986301369863,0.17
1949.997260273973,0.01
1950.0,0.02
1950.002739726027,0.45
1950.005479452055,2.44
1950.008219178082,1.08
1950.01095890411,0.1
1950.013698630137,0.53
1950.021917808219,0.28
1950.024657534247,0.35
1950.030136986301,0.02
1950.032876712329,0.89
1950.038356164383,1.4
1950.057534246575,0.01
1950.060273972603,0.19
1950.06301369863,0.33
1950.065753424657,1.17
1950.068493150685,0.48
1950.076712328767,0.03
1950.079452054795,0.02
1950.084931506849,0.0
1950.104109589041,0.73
1950.115068493151,0.78
1950.117808219178,1.22
1950.120547945206,0.14
1950.123287671233,0.05
1950.131506849315,0.08
1950.134246575343,0.04
1950.139726027397,0.41
1950.142465753425,0.08
1950.150684931507,0.24
1950.158904109589,0.42
1950.161643835616,0.0
1950.178082191781,0.15
1950.186301369863,0.1
1950.18904109589,0.35
1950.191780821918,0.5
1950.194520547945,0.05
1950.205479452055,0.14
1950.213698630137,0.26
1950.216438356164,0.08
1950.219178082192,0.05
1950.227397260274,0.09
1950.230136986301,0.07000000000000001
1950.232876712329,0.99
1950.243835616438,0.12
1950.246575342466,0.03
1950.249315068493,0.28
1950.252054794521,0.29
1950.254794520548,1.49
1950.268493150685,0.06
1950.271232876712,0.65
1950.295890410959,0.2
1950.306849315069,0.46
1950.309589041096,0.02
1950.312328767123,0.13
1950.323287671233,0.4
1950.32602739726,0.35
1950.328767123288,0.0
1950.339726027397,0.2
1950.350684931507,0.08
1950.353424657534,0.02
1950.383561643836,0.21
1950.386301369863,0.09
1950.38904109589,0.24
1950.391780821918,0.09
1950.4,0.04
1950.402739726027,0.59
1950.405479452055,0.13
1950.408219178082,0.23
1950.413698630137,0.0
1950.419178082192,0.54
1950.435616438356,0.24
1950.438356164384,0.07000000000000001
1950.446575342466,0.59
1950.452054794521,1.47
1950.454794520548,1.6
1950.460273972603,1.15
1950.46301369863,0.36
1950.476712328767,2.87
1950.495890410959,0.0
1950.498630136986,2.08
1950.501369863014,0.91
1950.504109589041,0.44
