Time,Precipitation
1948.497267759563,0.0
1948.508196721311,0.0
1948.532786885246,0.0
1948.535519125683,0.15
1948.53825136612,0.14
1948.540983606557,0.55
1948.546448087432,0.11
1948.549180327869,0.16
1948.551912568306,0.92
1948.554644808743,0.62
1948.562841530055,0.27
1948.565573770492,0.02
1948.581967213115,0.0
1948.590163934426,0.22
1948.609289617486,1.46
1948.614754098361,0.0
1948.658469945355,0.0
1948.666666666667,0.0
1948.672131147541,0.04
1948.677595628415,0.6900000000000001
1948.680327868852,0.45
1948.68306010929,0.04
1948.685792349727,0.3
1948.718579234973,1.02
1948.72131147541,0.1
1948.74043715847,0.22
1948.743169398907,0.7000000000000001
1948.745901639344,0.06
1948.748633879781,0.0
1948.765027322404,0.22
1948.767759562842,0.04
1948.773224043716,0.0
1948.775956284153,0.0
1948.789617486339,1.17
1948.803278688525,0.13
1948.806010928962,0.02
1948.833333333333,0.0
1948.83606557377,0.0
1948.838797814208,0.49
1948.844262295082,1.23
1948.85519125683,0.55
1948.857923497268,0.1
1948.863387978142,0.1
1948.866120218579,0.03
1948.874316939891,0.37
1948.879781420765,0.12
1948.882513661202,0.03
1948.901639344262,0.11
1948.907103825137,0.03
1948.915300546448,0.0
1948.926229508197,0.27
1948.945355191257,0.2
1948.950819672131,0.3
1948.953551912568,0.2
1948.96174863388,0.25
1948.964480874317,0.02
1948.989071038251,1.24
1948.991803278689,0.2
1949.0,0.0
1949.005479452055,0.18
1949.008219178082,2.23
1949.01095890411,0.08
1949.021917808219,0.05
1949.024657534247,0.42
1949.027397260274,0.38
1949.038356164383,0.08
1949.041095890411,0.22
1949.046575342466,2.33
1949.060273972603,0.47
1949.065753424657,0.09
1949.068493150685,0.26
1949.071232876712,0.9500000000000001
1949.082191780822,0.07000000000000001
1949.084931506849,0.0
1949.090410958904,0.05
1949.093150684932,0.02
1949.098630136986,0.06
1949.117808219178,0.0
1949.123287671233,2.32
1949.139726027397,0.07000000000000001
1949.142465753425,0.05
1949.147945205479,0.22
1949.156164383562,0.05
1949.161643835616,0.0
1949.180821917808,0.0
1949.183561643836,0.3
1949.186301369863,0.27
1949.216438356164,0.0
1949.219178082192,0.25
1949.230136986301,1.23
1949.241095890411,0.27
1949.243835616438,0.03
1949.246575342466,0.01
1949.26301369863,0.12
1949.27397260274,0.04
1949.276712328767,0.02
1949.282191780822,0.14
1949.284931506849,0.2
1949.290410958904,0.1
1949.304109589041,0.39
1949.306849315069,0.06
1949.315068493151,0.4
1949.328767123288,0.52
1949.350684931507,0.27
1949.367123287671,0.16
1949.375342465753,0.05
1949.378082191781,0.31
1949.380821917808,0.04
1949.383561643836,0.41
1949.386301369863,0.05
1949.38904109589,1.76
1949.391780821918,0.02
1949.394520547945,0.22
1949.413698630137,0.0
1949.438356164384,0.8100000000000001
1949.443835616438,0.03
1949.446575342466,0.38
1949.452054794521,0.66
1949.457534246575,0.71
1949.468493150685,0.04
1949.482191780822,0.27
1949.484931506849,0.13
1949.487671232877,1.2
1949.490410958904,0.02
1949.495890410959,0.0
1949.539726027397,0.0
1949.542465753425,0.51
1949.545205479452,0.55
1949.553424657534,0.8
1949.556164383562,0.03
1949.564383561644,1.7
1949.572602739726,0.13
1949.575342465753,0.47
1949.580821917808,0.0
1949.591780821918,0.06
1949.605479452055,0.85
1949.608219178082,0.1
1949.616438356164,2.6
1949.652054794521,0.0
1949.66301369863,0.0
1949.665753424658,0.0
1949.67397260274,0.45
1949.695890410959,0.42
1949.698630136986,0.03
1949.704109589041,0.03
1949.709589041096,0.8100000000000001
1949.712328767123,1.42
1949.747945205479,0.0
1949.750684931507,0.0
1949.756164383562,1.08
1949.758904109589,1.15
1949.761643835616,0.63
1949.767123287671,0.03
1949.775342465754,3.8
1949.778082191781,0.1
1949.791780821918,0.05
1949.8,0.13
1949.802739726027,0.64
1949.805479452055,0.02
1949.832876712329,0.0
1949.86301369863,1.49
1949.865753424657,0.19
1949.895890410959,0.1
1949.915068493151,0.0
1949.923287671233,0.02
1949.928767123288,0.0
1949.93698630137,0.06
1949.939726027397,0.45
1949.942465753425,0.72
1949.958904109589,0.28
1949.961643835617,0.13
1949.972602739726,1.53
1949.983561643836,0.8
1949.986301369863,0.04
1950.0,0.04
1950.002739726027,0.38
1950.005479452055,1.63
1950.008219178082,3.7
1950.01095890411,0.0
1950.024657534247,0.0
1950.030136986301,0.0
1950.032876712329,0.0
1950.038356164383,2.43
1950.060273972603,0.07000000000000001
1950.06301369863,0.29
1950.065753424657,1.42
1950.068493150685,0.1
1950.079452054795,0.0
1950.082191780822,0.0
1950.084931506849,0.0
1950.106849315069,0.0
1950.115068493151,1.29
1950.117808219178,1.1
1950.120547945206,0.34
1950.131506849315,0.0
1950.158904109589,0.0
1950.161643835616,0.0
1950.205479452055,0.0
1950.21095890411,0.02
1950.213698630137,0.25
1950.221917808219,0.04
1950.224657534246,0.04
1950.230136986301,0.23
1950.232876712329,1.21
1950.238356164384,0.0
1950.243835616438,0.0
1950.246575342466,0.0
1950.317808219178,0.0
1950.328767123288,0.0
1950.41095890411,0.0
1950.413698630137,0.0
1950.465753424658,0.0
1950.476712328767,0.7000000000000001
1950.495890410959,0.0
1950.498630136986,0.6
1950.501369863014,1.41
1950.504109589041,1.37
1950.517808219178,0.0
1950.578082191781,0.0
1950.580821917808,0.0
1950.6,0.08
1950.602739726027,0.0
1950.605479452055,0.0
1950.608219178082,0.36
1950.624657534247,0.17
1950.627397260274,0.18
1950.660273972603,0.06
1950.66301369863,3.25
1950.665753424658,1.14
1950.676712328767,0.0
1950.693150684931,0.0
1950.717808219178,1.61
1950.720547945205,1.96
1950.72602739726,0.0
1950.745205479452,0.0
1950.747945205479,0.0
1950.753424657534,0.0
1950.764383561644,0.0
1950.769863013699,1.5
1950.832876712329,0.06
1950.838356164384,0.0
1950.846575342466,0.0
1950.849315068493,0.0
1950.854794520548,2.1
1950.860273972603,0.0
1950.868493150685,0.0
1950.871232876712,0.45
1950.87397260274,0.09
1950.882191780822,1.15
1950.884931506849,0.76
1950.890410958904,0.0
1950.912328767123,0.0
1950.915068493151,0.0
1950.917808219178,0.84
1950.920547945205,0.02
1950.928767123288,0.58
1950.931506849315,0.05
1950.939726027397,0.0
1950.956164383562,0.11
1950.964383561644,0.07000000000000001
1951.0,0.0
1951.032876712329,0.0
1951.035616438356,0.68
1951.038356164383,0.18
1951.046575342466,0.0
1951.082191780822,0.0
1951.084931506849,0.0
1951.095890410959,0.0
1951.098630136986,0.61
1951.101369863014,0.0
1951.128767123288,0.0
1951.131506849315,0.13
1951.13698630137,1.68
1951.139726027397,0.1
1951.158904109589,0.29
1951.161643835616,0.0
1951.178082191781,0.0
1951.186301369863,0.19
1951.18904109589,0.3
1951.191780821918,0.29
1951.194520547945,0.12
1951.197260273973,0.15
1951.2,0.0
1951.213698630137,0.11
1951.216438356164,0.0
1951.230136986301,0.0
1951.235616438356,0.22
1951.238356164384,0.04
1951.241095890411,0.05
1951.246575342466,0.06
1951.260273972603,0.1
1951.26301369863,0.41
1951.265753424658,0.0
1951.282191780822,1.49
1951.293150684932,0.0
1951.295890410959,0.23
1951.301369863014,0.06
1951.304109589041,0.03
1951.309589041096,0.05
1951.312328767123,0.02
1951.320547945206,0.21
1951.323287671233,0.0
1951.32602739726,0.0
1951.328767123288,0.0
1951.334246575342,0.13
1951.33698630137,0.23
1951.342465753425,0.15
1951.350684931507,0.05
1951.353424657534,1.47
1951.356164383562,0.02
1951.386301369863,0.04
1951.397260273973,0.65
1951.4,0.21
1951.402739726027,0.07000000000000001
1951.413698630137,0.0
1951.416438356164,0.18
1951.419178082192,0.15
1951.421917808219,0.02
1951.430136986301,0.09
1951.443835616438,0.93
1951.476712328767,0.03
1951.479452054795,0.07000000000000001
1951.482191780822,0.36
1951.484931506849,1.43
1951.487671232877,1.08
1951.495890410959,0.0
1951.501369863014,0.21
1951.517808219178,0.0
1951.528767123288,0.0
1951.539726027397,1.24
1951.556164383562,0.05
1951.567123287671,0.39
1951.578082191781,0.05
1951.580821917808,0.0
1951.594520547945,0.71
1951.649315068493,0.27
1951.652054794521,0.55
1951.66301369863,0.0
1951.665753424658,0.0
1951.676712328767,0.13
1951.687671232877,0.0
1951.690410958904,0.65
1951.695890410959,1.08
1951.698630136986,0.32
1951.709589041096,0.0
1951.728767123288,0.0
1951.734246575342,0.55
1951.742465753425,0.0
1951.745205479452,0.0
1951.747945205479,0.0
1951.761643835616,0.3
1951.805479452055,0.0
1951.824657534247,0.0
1951.832876712329,0.0
1951.846575342466,0.0
1951.849315068493,1.7
1951.86301369863,0.0
1951.879452054794,0.0
1951.890410958904,0.0
1951.893150684931,0.7000000000000001
1951.915068493151,0.0
1951.923287671233,0.05
1951.939726027397,1.6
1951.942465753425,0.07000000000000001
1951.94794520548,0.0
1951.969863013699,1.36
1951.978082191781,0.0
1951.997260273973,0.0
1952.0,0.0
1952.002732240437,0.0
1952.005464480874,0.0
1952.008196721311,0.0
1952.035519125683,0.04
1952.040983606557,0.13
1952.049180327869,0.08
