Time,Precipitation
1948.497267759563,0.0
1948.521857923497,0.02
1948.527322404371,0.25
1948.530054644809,0.65
1948.535519125683,0.03
1948.551912568306,0.91
1948.554644808743,0.89
1948.55737704918,0.02
1948.562841530055,0.53
1948.565573770492,0.02
1948.568306010929,0.11
1948.57650273224,0.05
1948.581967213115,0.0
1948.590163934426,0.36
1948.603825136612,0.07000000000000001
1948.609289617486,1.05
1948.614754098361,0.1
1948.625683060109,0.2
1948.628415300547,0.14
1948.661202185792,0.14
1948.666666666667,0.0
1948.680327868852,0.22
1948.68306010929,0.07000000000000001
1948.685792349727,0.22
1948.718579234973,1.37
1948.72131147541,0.37
1948.724043715847,0.03
1948.74043715847,0.03
1948.743169398907,1.64
1948.745901639344,0.12
1948.748633879781,0.0
1948.765027322404,0.16
1948.767759562842,0.15
1948.775956284153,0.7000000000000001
1948.77868852459,0.02
1948.789617486339,0.61
1948.792349726776,0.06
1948.827868852459,0.11
1948.830601092896,0.19
1948.833333333333,0.0
1948.838797814208,0.78
1948.844262295082,1.45
1948.85519125683,0.44
1948.857923497268,0.12
1948.863387978142,0.05
1948.866120218579,0.2
1948.874316939891,0.29
1948.879781420765,0.1
1948.882513661202,0.39
1948.901639344262,0.12
1948.907103825137,0.17
1948.915300546448,0.0
1948.926229508197,0.12
1948.945355191257,0.2
1948.950819672131,0.2
1948.953551912568,1.59
1948.956284153006,0.01
1948.96174863388,0.08
1948.964480874317,0.07000000000000001
1948.967213114754,0.05
1948.989071038251,1.13
1948.991803278689,0.49
1949.0,0.0
1949.008219178082,1.52
1949.01095890411,0.54
1949.024657534247,0.65
1949.027397260274,0.25
1949.038356164383,0.13
1949.041095890411,0.22
1949.046575342466,2.05
1949.060273972603,0.33
1949.06301369863,0.02
1949.065753424657,0.05
1949.068493150685,0.52
1949.071232876712,0.88
1949.082191780822,0.05
1949.084931506849,0.0
1949.090410958904,0.12
1949.093150684932,0.07000000000000001
1949.098630136986,0.17
1949.115068493151,0.03
1949.117808219178,0.05
1949.120547945206,1.46
1949.123287671233,0.29
1949.139726027397,0.23
1949.142465753425,0.23
1949.147945205479,0.27
1949.156164383562,0.06
1949.161643835616,0.0
1949.180821917808,0.0
1949.183561643836,0.17
1949.186301369863,0.1
1949.2,0.04
1949.202739726027,0.02
1949.216438356164,0.0
1949.219178082192,0.0
1949.230136986301,0.55
1949.241095890411,0.2
1949.243835616438,0.4
1949.246575342466,0.13
1949.26301369863,0.05
1949.27397260274,0.07000000000000001
1949.282191780822,0.13
1949.284931506849,0.16
1949.287671232877,0.01
1949.290410958904,0.52
1949.293150684932,0.04
1949.304109589041,0.25
1949.306849315069,0.08
1949.315068493151,0.75
1949.328767123288,0.31
1949.350684931507,0.03
1949.367123287671,0.14
1949.375342465753,0.15
1949.378082191781,1.15
1949.380821917808,0.04
1949.383561643836,1.48
1949.386301369863,1.37
1949.38904109589,0.09
1949.391780821918,0.05
1949.413698630137,0.0
1949.419178082192,0.37
1949.441095890411,0.11
1949.443835616438,1.1
1949.446575342466,0.25
1949.449315068493,0.25
1949.452054794521,0.7000000000000001
1949.454794520548,0.9
1949.457534246575,0.05
1949.476712328767,0.15
1949.479452054795,1.6
1949.482191780822,1.17
1949.484931506849,0.05
1949.487671232877,0.12
1949.490410958904,0.05
1949.495890410959,0.0
1949.509589041096,0.46
1949.512328767123,1.38
1949.515068493151,0.07000000000000001
1949.517808219178,0.6900000000000001
1949.545205479452,0.37
1949.547945205479,0.05
1949.550684931507,0.2
1949.553424657534,0.03
1949.556164383562,0.01
1949.564383561644,0.09
1949.572602739726,0.05
1949.575342465753,1.37
1949.580821917808,0.0
1949.583561643836,0.18
1949.61095890411,0.08
1949.619178082192,0.01
1949.638356164384,0.23
1949.643835616438,0.07000000000000001
1949.652054794521,0.0
1949.654794520548,0.48
1949.660273972603,0.14
1949.66301369863,0.14
1949.665753424658,0.0
1949.67397260274,2.32
1949.676712328767,0.24
1949.682191780822,0.24
1949.698630136986,0.11
1949.712328767123,0.6
1949.720547945205,0.0
1949.723287671233,0.0
1949.747945205479,0.0
1949.753424657534,1.04
1949.756164383562,0.04
1949.758904109589,0.09
1949.761643835616,1.17
1949.775342465754,2.82
1949.778082191781,0.19
1949.8,0.1
1949.802739726027,0.36
1949.805479452055,0.55
1949.832876712329,0.0
1949.86301369863,0.3
1949.865753424657,0.53
1949.868493150685,0.13
1949.876712328767,0.06
1949.879452054794,0.02
1949.895890410959,0.16
1949.906849315068,0.05
1949.915068493151,0.0
1949.920547945205,0.03
1949.923287671233,0.02
1949.928767123288,0.06
1949.939726027397,0.13
1949.942465753425,0.88
1949.958904109589,0.07000000000000001
1949.961643835617,0.44
1949.967123287671,0.23
1949.969863013699,1.03
1949.972602739726,0.5
1949.983561643836,0.61
1949.986301369863,0.15
1950.0,0.0
1950.002739726027,0.45
1950.005479452055,2.16
1950.008219178082,0.88
1950.013698630137,0.5600000000000001
1950.019178082192,0.15
1950.021917808219,0.33
1950.024657534247,0.51
1950.030136986301,0.02
1950.032876712329,0.87
1950.038356164383,1.04
1950.060273972603,0.27
1950.06301369863,0.63
1950.065753424657,1.16
1950.068493150685,0.22
1950.079452054795,0.15
1950.084931506849,0.0
1950.098630136986,0.05
1950.104109589041,0.66
1950.106849315069,0.04
1950.115068493151,0.33
1950.117808219178,1.86
1950.120547945206,0.39
1950.131506849315,0.06
1950.139726027397,0.23
1950.142465753425,0.18
1950.145205479452,0.03
1950.147945205479,0.17
1950.158904109589,0.32
1950.161643835616,0.0
1950.178082191781,0.22
1950.180821917808,0.03
1950.186301369863,0.08
1950.18904109589,0.55
1950.191780821918,0.45
1950.205479452055,0.32
1950.213698630137,0.05
1950.216438356164,0.04
1950.219178082192,0.04
1950.230136986301,0.29
1950.232876712329,1.0
1950.243835616438,0.03
1950.246575342466,0.2
1950.249315068493,0.29
1950.252054794521,0.5
1950.254794520548,0.7000000000000001
1950.268493150685,1.11
1950.271232876712,0.14
