Time,Precipitation
1948.497267759563,0.0
1948.5,0.6
1948.527322404371,0.07000000000000001
1948.53825136612,0.45
1948.540983606557,0.18
1948.551912568306,0.27
1948.554644808743,0.28
1948.562841530055,0.06
1948.565573770492,0.18
1948.57650273224,0.25
1948.581967213115,0.0
1948.590163934426,0.39
1948.601092896175,0.2
1948.609289617486,1.49
1948.625683060109,0.04
1948.661202185792,0.03
1948.666666666667,0.0
1948.680327868852,0.43
1948.68306010929,0.05
1948.685792349727,1.26
1948.704918032787,0.22
1948.715846994535,0.03
1948.718579234973,0.26
1948.72131147541,0.62
1948.743169398907,0.5
1948.745901639344,0.03
1948.748633879781,0.0
1948.765027322404,0.35
1948.767759562842,0.1
1948.775956284153,0.13
1948.803278688525,0.11
1948.806010928962,0.04
1948.830601092896,0.11
1948.833333333333,0.0
1948.838797814208,0.68
1948.844262295082,1.09
1948.846994535519,0.01
1948.85519125683,0.61
1948.857923497268,0.12
1948.863387978142,0.08
1948.866120218579,0.06
1948.874316939891,0.45
1948.882513661202,1.03
1948.893442622951,0.0
1948.912568306011,0.0
1948.915300546448,0.0
1948.997267759563,0.0
1949.0,0.0
1949.082191780822,0.0
1949.084931506849,0.0
1949.158904109589,0.0
1949.161643835616,0.0
1949.243835616438,0.0
1949.246575342466,0.0
1949.276712328767,0.0
1949.282191780822,0.5
1949.284931506849,0.12
1949.290410958904,0.2
1949.293150684932,0.1
1949.304109589041,0.25
1949.312328767123,0.03
1949.315068493151,0.33
1949.328767123288,0.2
1949.342465753425,0.1
1949.375342465753,0.63
1949.378082191781,1.05
1949.380821917808,0.08
1949.383561643836,0.44
1949.386301369863,0.33
1949.41095890411,0.0
1949.413698630137,0.0
1949.493150684932,0.0
1949.495890410959,0.0
1949.578082191781,0.0
1949.580821917808,0.0
1949.66301369863,0.0
1949.665753424658,0.0
1949.745205479452,0.0
1949.747945205479,0.0
1949.791780821918,0.0
1949.802739726027,0.26
1949.805479452055,0.11
1949.832876712329,0.0
1949.835616438356,0.0
1949.887671232877,0.0
1949.895890410959,0.29
1949.906849315068,0.03
1949.915068493151,0.32
1949.920547945205,0.05
1949.928767123288,0.05
1949.931506849315,0.05
1949.939726027397,0.12
1949.942465753425,0.35
1949.958904109589,0.05
1949.961643835617,0.35
1949.967123287671,0.75
1949.969863013699,0.89
1949.972602739726,0.49
1949.983561643836,0.4
1949.986301369863,0.08
1949.997260273973,0.05
1950.0,0.04
1950.002739726027,0.0
1950.013698630137,0.13
1950.024657534247,0.29
1950.032876712329,0.9400000000000001
1950.038356164383,0.49
1950.060273972603,0.1
1950.06301369863,0.96
1950.065753424657,0.74
1950.068493150685,0.02
1950.082191780822,0.0
1950.084931506849,0.0
1950.158904109589,0.0
1950.161643835616,0.0
1950.243835616438,0.0
1950.246575342466,0.18
1950.249315068493,0.54
1950.252054794521,1.45
1950.254794520548,0.54
1950.32602739726,4.0
1950.328767123288,0.0
1950.350684931507,0.3
1950.383561643836,0.14
1950.386301369863,0.23
