Time,Precipitation
1948.497267759563,0.0
1948.521857923497,0.1
1948.530054644809,1.0
1948.532786885246,0.19
1948.551912568306,1.95
1948.554644808743,2.06
1948.562841530055,1.47
1948.581967213115,0.0
1948.590163934426,0.41
1948.609289617486,0.25
1948.625683060109,2.2
1948.628415300547,0.08
1948.661202185792,0.1
1948.666666666667,0.0
1948.672131147541,0.15
1948.677595628415,0.2
1948.680327868852,0.34
1948.68306010929,0.0
1948.718579234973,1.21
1948.72131147541,0.32
1948.74043715847,0.02
1948.743169398907,0.2
1948.745901639344,0.15
1948.748633879781,0.0
1948.765027322404,0.35
1948.773224043716,0.06
1948.775956284153,0.13
1948.789617486339,0.4
1948.803278688525,0.0
1948.806010928962,0.13
1948.827868852459,0.0
1948.830601092896,0.0
1948.833333333333,0.0
1948.83606557377,0.18
1948.838797814208,0.58
1948.844262295082,1.43
1948.85519125683,0.55
1948.863387978142,0.25
1948.866120218579,0.05
1948.874316939891,0.47
1948.879781420765,0.02
1948.882513661202,0.12
1948.885245901639,0.1
1948.915300546448,0.0
1948.926229508197,0.43
1948.945355191257,0.25
1948.950819672131,0.37
1948.953551912568,0.47
1948.964480874317,0.14
1948.967213114754,0.29
1948.969945355191,0.05
1948.989071038251,1.3
1948.991803278689,0.12
1949.0,0.0
1949.005479452055,0.06
1949.008219178082,0.99
1949.01095890411,0.02
1949.021917808219,0.24
1949.024657534247,0.55
1949.027397260274,0.33
1949.038356164383,0.1
1949.046575342466,2.14
1949.060273972603,0.44
1949.065753424657,0.18
1949.068493150685,0.5700000000000001
1949.071232876712,1.23
1949.082191780822,0.06
1949.084931506849,0.0
1949.090410958904,0.26
1949.098630136986,0.1
1949.115068493151,0.02
1949.117808219178,0.08
1949.120547945206,1.78
1949.123287671233,0.04
1949.12602739726,0.0
1949.158904109589,0.0
1949.161643835616,0.0
1949.169863013699,0.0
1949.241095890411,0.32
1949.243835616438,0.11
1949.246575342466,0.02
1949.271232876712,0.07000000000000001
1949.27397260274,0.01
1949.282191780822,0.27
1949.284931506849,0.15
1949.290410958904,0.21
